Grupo,Familia,Articulo
,,PAGO DE SERVICIO DE ENERGIA ELECTRICA
,,PAGO DE SERVICIO POSTAL
,,PAGO DE SERVICIO TELEGRAFICO
,,PAGO DE SERVICIO DE AGUA POTABLE Y ALCANTARILLADO
,,PAGO DE SERVICIO DE GAS DOMESTICO (LP)
,,CLORDIAZEPOXIDO CAT. C2517 EN FRASCO
,,TARJETA TELEFONICA PREPAGO
,,TRASLADO DE VALORES MEDALLAS HONORIFICAS
,,RENTA DE ESCENOGRAFIA
,,RENTA DE VESTUARIO
,,SERVICIO DE REEMPLAZO DE FIBRA OPTICA
,,Impresión de catálogos exposiciones 
,,IMPRESION DE CARTITAS
,,PREMIOS Y ESTIMULOS
,,EVENTO DE DANZA
,,FESTIVAL DE DANZA CONTEMPORANEA
,,EVENTOS DE TEATRO
,,CURADURIA
,,CONCIERTOS CULTURALES
ALIMENTOS,ALIMENTOS ESPECIALES,COMPLEMENTO ALIMENTICIO
ALIMENTOS,ALIMENTOS ESPECIALES,PROTEVIT SABOR CHOCOLATE
ALIMENTOS,ALIMENTOS ESPECIALES,MATERIA PRIMA PARA DESAYUNO COMIDA Y CENA
ALIMENTOS,ALIMENTOS ESPECIALES,SUSTAGEN SABOR CHOCOLATE DE 400 GR
ALIMENTOS,ALIMENTOS ESPECIALES,ALFARE
ALIMENTOS,ALIMENTOS ESPECIALES,FORMULA LACTEA
ALIMENTOS,ALIMENTOS ESPECIALES,NUTRAMIGEN DE 425 GR
ALIMENTOS,ALIMENTOS ESPECIALES,PREGESTIMIL DE 450 GR
ALIMENTOS,ALIMENTOS ESPECIALES,SUBROGACION DE ALIMENTACION P/ MEDICOS RESIDENTES
ALIMENTOS,ALIMENTOS ESPECIALES,RACIONES DE ALIMENTOS PARA 226 MEDICOS RESIDENTES
ALIMENTOS,ALIMENTOS ESPECIALES,COMPLEMENTO ALIMENTICIO ENTERES LIQUIDO
ALIMENTOS,ALIMENTOS ESPECIALES,COMPLEMENTO ALIMENTICIO KINDERKAL
ALIMENTOS,ALIMENTOS ESPECIALES,COMPLEMENTO ALIMENTICIO PEDIASURE
ALIMENTOS,ALIMENTOS ESPECIALES,COMPLEMENTO ALIMENTICIO RENEPH LIQUIDO
ALIMENTOS,ALIMENTOS ESPECIALES,LECHE LIQUIDA PARA PREMATUROS
ALIMENTOS,ALIMENTOS ESPECIALES,MATERIA PRIMA PARA DESAYUNO COMIDA Y CENA PARA SERVIDORES
ALIMENTOS,ALIMENTOS ESPECIALES,ELABORACION DE ALIMENTOS
ALIMENTOS,ALIMENTOS ESPECIALES,PIZZA
ALIMENTOS,ALIMENTOS ESPECIALES,SERVICIO DE ALIMENTOS PREPARADOS
ALIMENTOS,ALIMENTOS ESPECIALES,LUNCH BOX
ALIMENTOS,ALIMENTOS ESPECIALES,SUMINISTRO DE ALIMENTOS POR PRESTACION DE SERV. PUB.
ALIMENTOS,ALIMENTOS ESPECIALES,SUMINISTRO DE ALIMENTOS 2213
ALIMENTOS,ALIMENTOS ESPECIALES,COMPLEMENTO ALIMENTICIO 2213
ALIMENTOS,ALIMENTOS ESPECIALES,MATERIA PRIMA PARA DESAYUNO COMIDA Y CENA 2213
ALIMENTOS,ALIMENTOS ESPECIALES,FORMULA LACTEA 2213
ALIMENTOS,ALIMENTOS ESPECIALES,MATERIA PRIMA PARA DES. COMIDA Y CENA PARA SERVIDORES 2213
ALIMENTOS,ALIMENTOS ESPECIALES,ELABORACION DE ALIMENTOS 2213
ALIMENTOS,ALIMENTOS ESPECIALES,PIZZA 2213
ALIMENTOS,ALIMENTOS ESPECIALES,LUNCH BOX 2213
ALIMENTOS,ALIMENTOS ESPECIALES,SUMINISTRO DE ALIMENTOS 2214
ALIMENTOS,ALIMENTOS ESPECIALES,COMPLEMENTO ALIMENTICIO PNAL. INSTALACIONES Y DEPEND. 2214
